Set;instance;Seed;LRCSize;MaxHCIterations;TimeLimit[s];BestFO;
2;BEP-1-2-2-2-i10;6;0.5;20;30;38;
2;BEP-1-2-2-2-i10;6;0.5;50;30;38;
2;BEP-1-2-2-2-i10;6;0.5;100;30;38;
2;BEP-1-2-2-2-i10;8;0.1;20;30;38;
2;BEP-1-2-2-2-i10;8;0.1;50;30;38;
2;BEP-1-2-2-2-i10;8;0.1;100;30;38;
2;BEP-1-2-2-2-i10;8;0.3;20;30;38;
2;BEP-1-2-2-2-i10;8;0.3;50;30;38;
2;BEP-1-2-2-2-i10;8;0.3;100;30;38;
2;BEP-1-2-2-2-i10;8;0.5;20;30;38;
2;BEP-1-2-2-2-i10;8;0.5;50;30;38;
2;BEP-1-2-2-2-i10;8;0.5;100;30;38;
2;BEP-1-2-2-2-i10;10;0.1;20;30;38;
2;BEP-1-2-2-2-i10;10;0.1;50;30;38;
2;BEP-1-2-2-2-i10;10;0.1;100;30;38;
2;BEP-1-2-2-2-i10;10;0.3;20;30;38;
2;BEP-1-2-2-2-i10;10;0.3;50;30;38;
2;BEP-1-2-2-2-i10;10;0.3;100;30;38;
2;BEP-1-2-2-2-i10;10;0.5;20;30;38;
2;BEP-1-2-2-2-i10;10;0.5;50;30;38;
2;BEP-1-2-2-2-i10;10;0.5;100;30;38;
3;BEP-1-3-3-2-i1;4;0.1;20;30;35;
3;BEP-1-3-3-2-i1;4;0.1;50;30;35;
3;BEP-1-3-3-2-i1;4;0.1;100;30;35;
3;BEP-1-3-3-2-i1;4;0.3;20;30;35;
3;BEP-1-3-3-2-i1;4;0.3;50;30;35;
3;BEP-1-3-3-2-i1;4;0.3;100;30;35;
3;BEP-1-3-3-2-i1;4;0.5;20;30;33;
3;BEP-1-3-3-2-i1;4;0.5;50;30;33;
3;BEP-1-3-3-2-i1;4;0.5;100;30;33;
3;BEP-1-3-3-2-i1;6;0.1;20;30;35;
3;BEP-1-3-3-2-i1;6;0.1;50;30;35;
3;BEP-1-3-3-2-i1;6;0.1;100;30;35;
3;BEP-1-3-3-2-i1;6;0.3;20;30;35;
3;BEP-1-3-3-2-i1;6;0.3;50;30;35;
3;BEP-1-3-3-2-i1;6;0.3;100;30;35;
3;BEP-1-3-3-2-i1;6;0.5;20;30;33;
3;BEP-1-3-3-2-i1;6;0.5;50;30;33;
3;BEP-1-3-3-2-i1;6;0.5;100;30;33;
3;BEP-1-3-3-2-i1;8;0.1;20;30;35;
3;BEP-1-3-3-2-i1;8;0.1;50;30;35;
3;BEP-1-3-3-2-i1;8;0.1;100;30;35;
3;BEP-1-3-3-2-i1;8;0.3;20;30;35;
3;BEP-1-3-3-2-i1;8;0.3;50;30;35;
3;BEP-1-3-3-2-i1;8;0.3;100;30;35;
3;BEP-1-3-3-2-i1;8;0.5;20;30;33;
3;BEP-1-3-3-2-i1;8;0.5;50;30;33;
3;BEP-1-3-3-2-i1;8;0.5;100;30;33;
3;BEP-1-3-3-2-i1;10;0.1;20;30;35;
3;BEP-1-3-3-2-i1;10;0.1;50;30;35;
3;BEP-1-3-3-2-i1;10;0.1;100;30;35;
3;BEP-1-3-3-2-i1;10;0.3;20;30;35;
3;BEP-1-3-3-2-i1;10;0.3;50;30;35;
3;BEP-1-3-3-2-i1;10;0.3;100;30;35;
3;BEP-1-3-3-2-i1;10;0.5;20;30;33;
3;BEP-1-3-3-2-i1;10;0.5;50;30;33;
3;BEP-1-3-3-2-i1;10;0.5;100;30;33;
3;BEP-1-3-3-2-i2;4;0.1;20;30;60;
3;BEP-1-3-3-2-i2;4;0.1;50;30;60;
3;BEP-1-3-3-2-i2;4;0.1;100;30;60;
3;BEP-1-3-3-2-i2;4;0.3;20;30;60;
3;BEP-1-3-3-2-i2;4;0.3;50;30;60;
3;BEP-1-3-3-2-i2;4;0.3;100;30;60;
3;BEP-1-3-3-2-i2;4;0.5;20;30;52;
3;BEP-1-3-3-2-i2;4;0.5;50;30;52;
3;BEP-1-3-3-2-i2;4;0.5;100;30;52;
3;BEP-1-3-3-2-i2;6;0.1;20;30;60;
3;BEP-1-3-3-2-i2;6;0.1;50;30;60;
3;BEP-1-3-3-2-i2;6;0.1;100;30;60;
3;BEP-1-3-3-2-i2;6;0.3;20;30;60;
3;BEP-1-3-3-2-i2;6;0.3;50;30;60;
3;BEP-1-3-3-2-i2;6;0.3;100;30;60;
3;BEP-1-3-3-2-i2;6;0.5;20;30;52;
3;BEP-1-3-3-2-i2;6;0.5;50;30;52;
3;BEP-1-3-3-2-i2;6;0.5;100;30;52;
3;BEP-1-3-3-2-i2;8;0.1;20;30;60;
3;BEP-1-3-3-2-i2;8;0.1;50;30;60;
3;BEP-1-3-3-2-i2;8;0.1;100;30;60;
3;BEP-1-3-3-2-i2;8;0.3;20;30;60;
3;BEP-1-3-3-2-i2;8;0.3;50;30;60;
3;BEP-1-3-3-2-i2;8;0.3;100;30;60;
3;BEP-1-3-3-2-i2;8;0.5;20;30;52;
3;BEP-1-3-3-2-i2;8;0.5;50;30;52;
3;BEP-1-3-3-2-i2;8;0.5;100;30;52;
3;BEP-1-3-3-2-i2;10;0.1;20;30;60;
3;BEP-1-3-3-2-i2;10;0.1;50;30;60;
3;BEP-1-3-3-2-i2;10;0.1;100;30;60;
3;BEP-1-3-3-2-i2;10;0.3;20;30;60;
3;BEP-1-3-3-2-i2;10;0.3;50;30;60;
3;BEP-1-3-3-2-i2;10;0.3;100;30;60;
3;BEP-1-3-3-2-i2;10;0.5;20;30;52;
3;BEP-1-3-3-2-i2;10;0.5;50;30;52;
3;BEP-1-3-3-2-i2;10;0.5;100;30;52;
3;BEP-1-3-3-2-i3;4;0.1;20;30;31;
3;BEP-1-3-3-2-i3;4;0.1;50;30;31;
3;BEP-1-3-3-2-i3;4;0.1;100;30;31;
3;BEP-1-3-3-2-i3;4;0.3;20;30;31;
3;BEP-1-3-3-2-i3;4;0.3;50;30;31;
3;BEP-1-3-3-2-i3;4;0.3;100;30;31;
3;BEP-1-3-3-2-i3;4;0.5;20;30;31;
3;BEP-1-3-3-2-i3;4;0.5;50;30;31;
3;BEP-1-3-3-2-i3;4;0.5;100;30;31;
3;BEP-1-3-3-2-i3;6;0.1;20;30;31;
3;BEP-1-3-3-2-i3;6;0.1;50;30;31;
3;BEP-1-3-3-2-i3;6;0.1;100;30;31;
3;BEP-1-3-3-2-i3;6;0.3;20;30;31;
3;BEP-1-3-3-2-i3;6;0.3;50;30;31;
3;BEP-1-3-3-2-i3;6;0.3;100;30;31;
3;BEP-1-3-3-2-i3;6;0.5;20;30;31;
3;BEP-1-3-3-2-i3;6;0.5;50;30;31;
3;BEP-1-3-3-2-i3;6;0.5;100;30;31;
3;BEP-1-3-3-2-i3;8;0.1;20;30;31;
3;BEP-1-3-3-2-i3;8;0.1;50;30;31;
3;BEP-1-3-3-2-i3;8;0.1;100;30;31;
3;BEP-1-3-3-2-i3;8;0.3;20;30;31;
3;BEP-1-3-3-2-i3;8;0.3;50;30;31;
3;BEP-1-3-3-2-i3;8;0.3;100;30;31;
3;BEP-1-3-3-2-i3;8;0.5;20;30;31;
3;BEP-1-3-3-2-i3;8;0.5;50;30;31;
3;BEP-1-3-3-2-i3;8;0.5;100;30;31;
3;BEP-1-3-3-2-i3;10;0.1;20;30;31;
3;BEP-1-3-3-2-i3;10;0.1;50;30;31;
3;BEP-1-3-3-2-i3;10;0.1;100;30;31;
